"ID","OR","Last Name","First Name","Team","Status","Status Details","Eligible Positions","Avg. Pick","Avg. Round","Avg. Cost","% Drafted","FG%","FT%","3PTM","PTS","REB","AST","ST","BLK","TO","Image"
"428.p.5464","42","Porzingis","Kristaps","BOS","Injured","INJ - Calf","C,PF","41.4","4.0","$23.1","100%","0.516","0.858","110","1145","409","115","42","111","89","https://s.yimg.com/iu/api/res/1.2/DxrR2zu57DCMyvcTiPabwQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10102023/5464.png"
"428.p.5754","43","Caruso","Alex","CHI","Available","","PG,SG","137.7","12.1","$1.3","13%","0.468","0.760","136","715","273","247","120","70","102","https://s.yimg.com/iu/api/res/1.2/aiY9ZojWhcQXMi5y8ppdTA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10172023/5754.png"
"428.p.5433","44","Russell","D'Angelo","LAL","Available","","PG,SG","98.4","8.8","$4.9","100%","0.456","0.828","226","1369","236","482","69","36","156","https://s.yimg.com/iu/api/res/1.2/yHbUavhVntC8z1VA0N.Y3Q--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10242023/5433.png"
"428.p.4246","45","Conley","Mike","MIN","Available","","PG","126.3","11.2","$1.4","98%","0.457","0.911","179","869","218","449","88","17","102","https://s.yimg.com/iu/api/res/1.2/Bl07LZ.0AelsbRymV3fBmQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10242023/4246.png"
"428.p.4901","46","Harris","Tobias","PHI","Available","","PF,SF","87.2","7.9","$4.4","100%","0.487","0.878","91","1204","453","217","70","46","93","https://s.yimg.com/iu/api/res/1.2/gTVxZAVsZ.9duo5dD7Veqw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10172023/4901.png"
"428.p.5161","47","McCollum","CJ","NOP","Available","","PG,SG","80.8","7.3","$6.6","100%","0.459","0.827","239","1322","286","305","62","41","110","https://s.yimg.com/iu/api/res/1.2/CkrDxcCv7.trDVCGYwFbQw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10232023/5161.png"
"428.p.5658","48","Siakam","Pascal","IND","Available","","C,PF","31.3","3.2","$28.5","100%","0.536","0.732","85","1737","565","342","63","25","141","https://s.yimg.com/iu/api/res/1.2/AI8VqUZfZCmE783KuGMKTw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/01172024/5658.png"
"428.p.5769","49","Markkanen","Lauri","UTA","Questionable","GTD - Shoulder","PF,SF","26.8","2.8","$30.6","100%","0.480","0.899","175","1278","449","110","50","26","77","https://s.yimg.com/iu/api/res/1.2/mah.Tg2yWfx.XtosvuGevg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10092023/5769.png"
"428.p.5827","50","Adebayo","Bam","MIA","Available","","C","32.1","3.2","$26.2","100%","0.521","0.755","15","1367","737","278","81","66","162","https://s.yimg.com/iu/api/res/1.2/j7any0QH2kURcud3DZxhZw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10242023/5827.png"
"428.p.6515","51","Barnes","Scottie","TOR","Questionable","GTD - Hand","PF,SF,SG","46.9","4.5","$17.0","100%","0.475","0.781","101","1191","494","363","75","88","165","https://s.yimg.com/iu/api/res/1.2/4RxdElVqJ3eDAm3p0PuoaA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10092023/6515.png"
"428.p.6606","52","Reaves","Austin","LAL","Available","","PG,SF,SG","90.2","8.1","$6.1","100%","0.486","0.853","154","1300","352","450","66","25","174","https://s.yimg.com/iu/api/res/1.2/II0sOmqak7rkGHSH7VDHOQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10242023/6606.png"
"428.p.5294","53","Embiid","Joel","PHI","Available","","C","3.5","1.0","$64.7","100%","0.529","0.883","54","1353","430","219","46","66","150","https://s.yimg.com/iu/api/res/1.2/a75_m27Rg.NYId4.mwC9BA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10172023/5294.png"
"428.p.6021","54","Bridges","Mikal","BKN","Available","","PF,SF,SG","21.2","2.2","$37.6","100%","0.436","0.814","220","1606","372","299","81","30","164","https://s.yimg.com/iu/api/res/1.2/kCA..cVquu28bouD3oknDw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10102023/6021.png"
"428.p.4912","55","Butler","Jimmy","MIA","Questionable","GTD - Knee","PF,SF","25.9","2.7","$31.2","100%","0.499","0.858","60","1246","318","298","79","17","102","https://s.yimg.com/iu/api/res/1.2/JAu6XQphDzGmREp8bLZKWA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10242023/4912.1.png"
"428.p.5856","56","Hartenstein","Isaiah","NYK","Available","","C","94.7","8.4","$1.5","7%","0.644","0.707","1","582","626","188","87","85","93","https://s.yimg.com/iu/api/res/1.2/jtRSLtNFu1_UR.Kp5R2ibg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10232023/5856.png"
"428.p.6550","57","Wagner","Franz","ORL","Available","","PF,SF,SG","65.8","6.1","$13.8","100%","0.482","0.850","94","1421","381","269","76","28","137","https://s.yimg.com/iu/api/res/1.2/dHxyZf8T3yAAVe9UIy4weA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10192023/6550.png"
"428.p.6023","58","Bridges","Miles","CHA","Questionable","GTD - Wrist","PF,SF","103.4","9.2","$3.8","74%","0.462","0.825","157","1449","505","231","65","33","138","https://s.yimg.com/iu/api/res/1.2/pgPO0W2be2KPJGyfhm_jgA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10102023/6023.png"
"428.p.5482","59","Portis","Bobby","MIL","Available","","C,PF","114.3","10.2","$2.0","100%","0.508","0.790","100","1130","607","104","68","34","91","https://s.yimg.com/iu/api/res/1.2/Vul3k_KqXamj97Yw0e6ztw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10242023/5482.png"
"428.p.6015","60","Jackson Jr.","Jaren","MEM","Questionable","GTD - Quadriceps","C,PF","21.8","2.3","$43.3","100%","0.444","0.808","117","1486","365","154","80","106","160","https://s.yimg.com/iu/api/res/1.2/aRupemBbPP4eyyJxpKnmtA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10252023/6015.png"
